en,function,procedure,if,then,else,else if,for,do,while,end,return,terminate,break
ar,دالة,إجراء,إذا,ثم,وإلا,وإلا إذا,لكل,نفذ,بينما,نهاية,أرجع,إنهاء,كسر
de,Funktion,Prozedur,wenn,dann,sonst,sonst wenn,für,ausführen,während,ende,zurückgeben,beenden,abbrechen
es,función,procedimiento,si,entonces,sino,sino si,para,hacer,mientras,fin,retornar,terminar,romper
fr,fonction,procédure,si,alors,sinon,si sinon,pour,faire,tandis que,fin,retourner,terminer,interrompre
hr,funkcija,procedura,ako,onda,inače,inače ako,za,provedi,dok,kraj,vrati,terminiraj,prekid
it,funzione,procedura,se,allora,altrimenti,se altrimenti,per,eseguire,mentre,fine,restituire,terminare,interrompere
ja,関数,手続き,もし,ならば,そうでなければ,そうでなければもし,繰り返し,実行,間,終了,戻る,終了する,中断
pt,função,procedimento,se,então,senão,senão se,para,executar,enquanto,fim,retornar,terminar,interromper
ru,функция,процедура,если,тогда,иначе,иначе если,для,выполнить,пока,конец,вернуть,завершить,прервать
zh,函数,过程,如果,那么,否则,否则如果,对于,执行,当,结束,返回,终止,中断
